,Name_JP,Team_JP,predicted_BA_range,predicted_HR_range,predicted_OPS_range
0,赤羽 由紘,ヤクルト,.180-.189,0-4本,.650-.699
1,秋山 翔吾,広島,.210-.219,0-4本,.600-.649
2,浅村 栄斗,楽天,.240-.249,10-14本,.700-.749
3,トレイ・キャベッジ,巨人,.270-.279,15-19本,.750-.799
4,オルランド・カリステ,中日,.200-.209,0-4本,.700-.749
5,レアンドロ・セデーニョ,西武,.280-.289,5-9本,.700-.749
6,近本 光司,阪神,.300-.309,0-4本,.650-.699
7,ジーター・ダウンズ,ソフトバンク,.260-.269,10-14本,.700-.749
8,蛯名 達夫,ＤｅＮＡ,.280-.289,5-9本,.650-.699
9,サンドロ・ファビアン,広島,.250-.259,10-14本,.650-.699
10,マイケル・フランコ,楽天,.230-.239,0-4本,.600-.649
11,藤岡 裕大,ロッテ,.250-.259,0-4本,.600-.649
12,藤原 恭大,ロッテ,.240-.249,0-4本,.650-.699
13,伏見 寅威,日本ハム,.240-.249,0-4本,.600-.649
14,源田 壮亮,西武,.240-.249,0-4本,.600-.649
15,オスカー・ゴンザレス,楽天,.260-.269,0-4本,.550-.599
16,郡司 裕也,日本ハム,.270-.279,10-14本,.750-.799
17,長谷川 信哉,西武,.240-.249,5-9本,.650-.699
18,林 琢真,ＤｅＮＡ,.290-.299,0-4本,.550-.599
19,エリエ・ヘルナンデス,巨人,.250-.259,5-9本,.650-.699
20,平沼 翔太,西武,.240-.249,0-4本,.600-.649
21,廣岡 大志,オリックス,.200-.209,5-9本,.650-.699
22,堀内 謙伍,楽天,.280-.289,5-9本,.650-.699
23,細川 成也,中日,.260-.269,25-29本,.750-.799
24,池田 来翔,ロッテ,.230-.239,0-4本,.650-.699
25,今宮 健太,ソフトバンク,.210-.219,0-4本,.700-.749
26,石伊 雄太,中日,.220-.229,0-4本,.700-.749
27,石井 一成,日本ハム,.230-.239,0-4本,.700-.749
28,五十幡 亮汰,日本ハム,.230-.239,0-4本,.600-.649
29,板山 祐太郎,中日,.220-.229,0-4本,.700-.749
30,伊藤 琉偉,ヤクルト,.290-.299,10-14本,.700-.749
31,岩田 幸宏,ヤクルト,.240-.249,0-4本,.600-.649
32,水口 裕太,巨人,.260-.269,0-4本,.650-.699
33,門脇 誠,巨人,.240-.249,0-4本,.600-.649
34,甲斐 拓也,巨人,.230-.239,0-4本,.650-.699
35,梶原 昂希,ＤｅＮＡ,.280-.289,0-4本,.600-.649
36,川瀬 晃,ソフトバンク,.250-.259,0-4本,.700-.749
37,菊池 涼介,広島,.240-.249,0-4本,.550-.599
38,木浪 聖也,阪神,.240-.249,0-4本,.700-.749
39,岸田 行倫,巨人,.280-.289,5-9本,.750-.799
40,清宮 幸太郎,日本ハム,.260-.269,5-9本,.650-.699
41,小深田 大翔,楽天,.250-.259,0-4本,.600-.649
42,古賀 悠斗,ヤクルト,.310-.319,0-4本,.650-.699
43,古賀 雄大,西武,.240-.249,0-4本,.600-.649
